operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
maple-1-separate,cut,maple-1,maple-1-window;maple-1-reserve,"[108000, 419000, 33000]","{""maple-1-reserve"": [108000, 21000, 33000], ""maple-1-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-1-end-min,cut,maple-1-window,maple-1-end1;maple-1-end-min-off,"[108000, 395000, 33000]","{""maple-1-end-min-off"": [108000, 8000, 33000], ""maple-1-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-1-end-max,cut,maple-1-end1,maple-1-blank;maple-1-end-max-off,"[108000, 384000, 33000]","{""maple-1-blank"": [108000, 370000, 33000], ""maple-1-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-1-zmin,surface,maple-1-blank,maple-1-z1;maple-1-zmin-loss,"[108000, 370000, 33000]","{""maple-1-z1"": [108000, 370000, 30000], ""maple-1-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-1-zmax,surface,maple-1-z1,maple-1-z2;maple-1-zmax-loss,"[108000, 370000, 30000]","{""maple-1-z2"": [108000, 370000, 27000], ""maple-1-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-1-xmin,surface,maple-1-z2,maple-1-x1;maple-1-xmin-loss,"[108000, 370000, 27000]","{""maple-1-x1"": [107000, 370000, 27000], ""maple-1-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-1-xmax,surface,maple-1-x1,maple-1-x2;maple-1-xmax-loss,"[107000, 370000, 27000]","{""maple-1-x2"": [106000, 370000, 27000], ""maple-1-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-1-rip,cut,maple-1-x2,maple-1-pre;maple-1-rip-off,"[106000, 370000, 27000]","{""maple-1-pre"": [26000, 370000, 27000], ""maple-1-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-1-joint,surface,maple-1-pre,panel-1-strip-0;maple-1-joint-loss,"[26000, 370000, 27000]","{""maple-1-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-0"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-2-separate,cut,maple-2,maple-2-window;maple-2-reserve,"[108000, 419000, 33000]","{""maple-2-reserve"": [108000, 21000, 33000], ""maple-2-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-2-end-min,cut,maple-2-window,maple-2-end1;maple-2-end-min-off,"[108000, 395000, 33000]","{""maple-2-end-min-off"": [108000, 8000, 33000], ""maple-2-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-2-end-max,cut,maple-2-end1,maple-2-blank;maple-2-end-max-off,"[108000, 384000, 33000]","{""maple-2-blank"": [108000, 370000, 33000], ""maple-2-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-2-zmin,surface,maple-2-blank,maple-2-z1;maple-2-zmin-loss,"[108000, 370000, 33000]","{""maple-2-z1"": [108000, 370000, 30000], ""maple-2-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-2-zmax,surface,maple-2-z1,maple-2-z2;maple-2-zmax-loss,"[108000, 370000, 30000]","{""maple-2-z2"": [108000, 370000, 27000], ""maple-2-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-2-xmin,surface,maple-2-z2,maple-2-x1;maple-2-xmin-loss,"[108000, 370000, 27000]","{""maple-2-x1"": [107000, 370000, 27000], ""maple-2-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-2-xmax,surface,maple-2-x1,maple-2-x2;maple-2-xmax-loss,"[107000, 370000, 27000]","{""maple-2-x2"": [106000, 370000, 27000], ""maple-2-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-2-rip,cut,maple-2-x2,maple-2-pre;maple-2-rip-off,"[106000, 370000, 27000]","{""maple-2-pre"": [26000, 370000, 27000], ""maple-2-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-2-joint,surface,maple-2-pre,panel-1-strip-1;maple-2-joint-loss,"[26000, 370000, 27000]","{""maple-2-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-1"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-3-separate,cut,maple-3,maple-3-window;maple-3-reserve,"[108000, 419000, 33000]","{""maple-3-reserve"": [108000, 21000, 33000], ""maple-3-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-3-end-min,cut,maple-3-window,maple-3-end1;maple-3-end-min-off,"[108000, 395000, 33000]","{""maple-3-end-min-off"": [108000, 8000, 33000], ""maple-3-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-3-end-max,cut,maple-3-end1,maple-3-blank;maple-3-end-max-off,"[108000, 384000, 33000]","{""maple-3-blank"": [108000, 370000, 33000], ""maple-3-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-3-zmin,surface,maple-3-blank,maple-3-z1;maple-3-zmin-loss,"[108000, 370000, 33000]","{""maple-3-z1"": [108000, 370000, 30000], ""maple-3-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-3-zmax,surface,maple-3-z1,maple-3-z2;maple-3-zmax-loss,"[108000, 370000, 30000]","{""maple-3-z2"": [108000, 370000, 27000], ""maple-3-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-3-xmin,surface,maple-3-z2,maple-3-x1;maple-3-xmin-loss,"[108000, 370000, 27000]","{""maple-3-x1"": [107000, 370000, 27000], ""maple-3-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-3-xmax,surface,maple-3-x1,maple-3-x2;maple-3-xmax-loss,"[107000, 370000, 27000]","{""maple-3-x2"": [106000, 370000, 27000], ""maple-3-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-3-rip,cut,maple-3-x2,maple-3-pre;maple-3-rip-off,"[106000, 370000, 27000]","{""maple-3-pre"": [26000, 370000, 27000], ""maple-3-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-3-joint,surface,maple-3-pre,panel-1-strip-2;maple-3-joint-loss,"[26000, 370000, 27000]","{""maple-3-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-2"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-4-separate,cut,maple-4,maple-4-window;maple-4-reserve,"[108000, 419000, 33000]","{""maple-4-reserve"": [108000, 21000, 33000], ""maple-4-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-4-end-min,cut,maple-4-window,maple-4-end1;maple-4-end-min-off,"[108000, 395000, 33000]","{""maple-4-end-min-off"": [108000, 8000, 33000], ""maple-4-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-4-end-max,cut,maple-4-end1,maple-4-blank;maple-4-end-max-off,"[108000, 384000, 33000]","{""maple-4-blank"": [108000, 370000, 33000], ""maple-4-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-4-zmin,surface,maple-4-blank,maple-4-z1;maple-4-zmin-loss,"[108000, 370000, 33000]","{""maple-4-z1"": [108000, 370000, 30000], ""maple-4-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-4-zmax,surface,maple-4-z1,maple-4-z2;maple-4-zmax-loss,"[108000, 370000, 30000]","{""maple-4-z2"": [108000, 370000, 27000], ""maple-4-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-4-xmin,surface,maple-4-z2,maple-4-x1;maple-4-xmin-loss,"[108000, 370000, 27000]","{""maple-4-x1"": [107000, 370000, 27000], ""maple-4-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-4-xmax,surface,maple-4-x1,maple-4-x2;maple-4-xmax-loss,"[107000, 370000, 27000]","{""maple-4-x2"": [106000, 370000, 27000], ""maple-4-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-4-rip,cut,maple-4-x2,maple-4-pre;maple-4-rip-off,"[106000, 370000, 27000]","{""maple-4-pre"": [26000, 370000, 27000], ""maple-4-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-4-joint,surface,maple-4-pre,panel-1-strip-3;maple-4-joint-loss,"[26000, 370000, 27000]","{""maple-4-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-3"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-5-separate,cut,maple-5,maple-5-window;maple-5-reserve,"[108000, 419000, 33000]","{""maple-5-reserve"": [108000, 21000, 33000], ""maple-5-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-5-end-min,cut,maple-5-window,maple-5-end1;maple-5-end-min-off,"[108000, 395000, 33000]","{""maple-5-end-min-off"": [108000, 8000, 33000], ""maple-5-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-5-end-max,cut,maple-5-end1,maple-5-blank;maple-5-end-max-off,"[108000, 384000, 33000]","{""maple-5-blank"": [108000, 370000, 33000], ""maple-5-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-5-zmin,surface,maple-5-blank,maple-5-z1;maple-5-zmin-loss,"[108000, 370000, 33000]","{""maple-5-z1"": [108000, 370000, 30000], ""maple-5-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-5-zmax,surface,maple-5-z1,maple-5-z2;maple-5-zmax-loss,"[108000, 370000, 30000]","{""maple-5-z2"": [108000, 370000, 27000], ""maple-5-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-5-xmin,surface,maple-5-z2,maple-5-x1;maple-5-xmin-loss,"[108000, 370000, 27000]","{""maple-5-x1"": [107000, 370000, 27000], ""maple-5-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-5-xmax,surface,maple-5-x1,maple-5-x2;maple-5-xmax-loss,"[107000, 370000, 27000]","{""maple-5-x2"": [106000, 370000, 27000], ""maple-5-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-5-rip,cut,maple-5-x2,maple-5-pre;maple-5-rip-off,"[106000, 370000, 27000]","{""maple-5-pre"": [26000, 370000, 27000], ""maple-5-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-5-joint,surface,maple-5-pre,panel-1-strip-4;maple-5-joint-loss,"[26000, 370000, 27000]","{""maple-5-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-4"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-6-separate,cut,maple-6,maple-6-window;maple-6-reserve,"[108000, 419000, 33000]","{""maple-6-reserve"": [108000, 21000, 33000], ""maple-6-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-6-end-min,cut,maple-6-window,maple-6-end1;maple-6-end-min-off,"[108000, 395000, 33000]","{""maple-6-end-min-off"": [108000, 8000, 33000], ""maple-6-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-6-end-max,cut,maple-6-end1,maple-6-blank;maple-6-end-max-off,"[108000, 384000, 33000]","{""maple-6-blank"": [108000, 370000, 33000], ""maple-6-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-6-zmin,surface,maple-6-blank,maple-6-z1;maple-6-zmin-loss,"[108000, 370000, 33000]","{""maple-6-z1"": [108000, 370000, 30000], ""maple-6-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-6-zmax,surface,maple-6-z1,maple-6-z2;maple-6-zmax-loss,"[108000, 370000, 30000]","{""maple-6-z2"": [108000, 370000, 27000], ""maple-6-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-6-xmin,surface,maple-6-z2,maple-6-x1;maple-6-xmin-loss,"[108000, 370000, 27000]","{""maple-6-x1"": [107000, 370000, 27000], ""maple-6-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-6-xmax,surface,maple-6-x1,maple-6-x2;maple-6-xmax-loss,"[107000, 370000, 27000]","{""maple-6-x2"": [106000, 370000, 27000], ""maple-6-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-6-rip,cut,maple-6-x2,maple-6-pre;maple-6-rip-off,"[106000, 370000, 27000]","{""maple-6-pre"": [26000, 370000, 27000], ""maple-6-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-6-joint,surface,maple-6-pre,panel-1-strip-5;maple-6-joint-loss,"[26000, 370000, 27000]","{""maple-6-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-5"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-7-separate,cut,maple-7,maple-7-window;maple-7-reserve,"[108000, 419000, 33000]","{""maple-7-reserve"": [108000, 21000, 33000], ""maple-7-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-7-end-min,cut,maple-7-window,maple-7-end1;maple-7-end-min-off,"[108000, 395000, 33000]","{""maple-7-end-min-off"": [108000, 8000, 33000], ""maple-7-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-7-end-max,cut,maple-7-end1,maple-7-blank;maple-7-end-max-off,"[108000, 384000, 33000]","{""maple-7-blank"": [108000, 370000, 33000], ""maple-7-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-7-zmin,surface,maple-7-blank,maple-7-z1;maple-7-zmin-loss,"[108000, 370000, 33000]","{""maple-7-z1"": [108000, 370000, 30000], ""maple-7-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-7-zmax,surface,maple-7-z1,maple-7-z2;maple-7-zmax-loss,"[108000, 370000, 30000]","{""maple-7-z2"": [108000, 370000, 27000], ""maple-7-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-7-xmin,surface,maple-7-z2,maple-7-x1;maple-7-xmin-loss,"[108000, 370000, 27000]","{""maple-7-x1"": [107000, 370000, 27000], ""maple-7-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-7-xmax,surface,maple-7-x1,maple-7-x2;maple-7-xmax-loss,"[107000, 370000, 27000]","{""maple-7-x2"": [106000, 370000, 27000], ""maple-7-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-7-rip,cut,maple-7-x2,maple-7-pre;maple-7-rip-off,"[106000, 370000, 27000]","{""maple-7-pre"": [26000, 370000, 27000], ""maple-7-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-7-joint,surface,maple-7-pre,panel-1-strip-6;maple-7-joint-loss,"[26000, 370000, 27000]","{""maple-7-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-6"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-8-separate,cut,maple-8,maple-8-window;maple-8-reserve,"[108000, 419000, 33000]","{""maple-8-reserve"": [108000, 21000, 33000], ""maple-8-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-8-end-min,cut,maple-8-window,maple-8-end1;maple-8-end-min-off,"[108000, 395000, 33000]","{""maple-8-end-min-off"": [108000, 8000, 33000], ""maple-8-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-8-end-max,cut,maple-8-end1,maple-8-blank;maple-8-end-max-off,"[108000, 384000, 33000]","{""maple-8-blank"": [108000, 370000, 33000], ""maple-8-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-8-zmin,surface,maple-8-blank,maple-8-z1;maple-8-zmin-loss,"[108000, 370000, 33000]","{""maple-8-z1"": [108000, 370000, 30000], ""maple-8-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-8-zmax,surface,maple-8-z1,maple-8-z2;maple-8-zmax-loss,"[108000, 370000, 30000]","{""maple-8-z2"": [108000, 370000, 27000], ""maple-8-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-8-xmin,surface,maple-8-z2,maple-8-x1;maple-8-xmin-loss,"[108000, 370000, 27000]","{""maple-8-x1"": [107000, 370000, 27000], ""maple-8-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-8-xmax,surface,maple-8-x1,maple-8-x2;maple-8-xmax-loss,"[107000, 370000, 27000]","{""maple-8-x2"": [106000, 370000, 27000], ""maple-8-xmax-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-8-rip,cut,maple-8-x2,maple-8-pre;maple-8-rip-off,"[106000, 370000, 27000]","{""maple-8-pre"": [26000, 370000, 27000], ""maple-8-rip-off"": [77000, 370000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 29970000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-8-joint,surface,maple-8-pre,panel-1-strip-7;maple-8-joint-loss,"[26000, 370000, 27000]","{""maple-8-joint-loss"": [1000, 370000, 27000], ""panel-1-strip-7"": [25000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-9-separate,cut,maple-9,maple-9-window;maple-9-reserve,"[108000, 419000, 33000]","{""maple-9-reserve"": [108000, 21000, 33000], ""maple-9-window"": [108000, 395000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 395000, ""tool"": ""saw""}"
maple-9-end-min,cut,maple-9-window,maple-9-end1;maple-9-end-min-off,"[108000, 395000, 33000]","{""maple-9-end-min-off"": [108000, 8000, 33000], ""maple-9-end1"": [108000, 384000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 384000, ""tool"": ""saw""}"
maple-9-end-max,cut,maple-9-end1,maple-9-blank;maple-9-end-max-off,"[108000, 384000, 33000]","{""maple-9-blank"": [108000, 370000, 33000], ""maple-9-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 370000, ""tool"": ""saw""}"
maple-9-zmin,surface,maple-9-blank,maple-9-z1;maple-9-zmin-loss,"[108000, 370000, 33000]","{""maple-9-z1"": [108000, 370000, 30000], ""maple-9-zmin-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-9-zmax,surface,maple-9-z1,maple-9-z2;maple-9-zmax-loss,"[108000, 370000, 30000]","{""maple-9-z2"": [108000, 370000, 27000], ""maple-9-zmax-loss"": [108000, 370000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-9-xmin,surface,maple-9-z2,maple-9-x1;maple-9-xmin-loss,"[108000, 370000, 27000]","{""maple-9-x1"": [107000, 370000, 27000], ""maple-9-xmin-loss"": [1000, 370000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
