operation,kind,inputs,outputs,input_dimensions_um,output_dimensions_um,settings_json
maple-37-xmin,surface,maple-37-z2,maple-37-x1;maple-37-xmin-loss,"[108000, 195000, 27000]","{""maple-37-x1"": [107000, 195000, 27000], ""maple-37-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-37-xmax,surface,maple-37-x1,maple-37-x2;maple-37-xmax-loss,"[107000, 195000, 27000]","{""maple-37-x2"": [106000, 195000, 27000], ""maple-37-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-37-rip,cut,maple-37-x2,maple-37-pre;maple-37-rip-off,"[106000, 195000, 27000]","{""maple-37-pre"": [26000, 195000, 27000], ""maple-37-rip-off"": [77000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-37-joint,surface,maple-37-pre,panel-5-strip-0;maple-37-joint-loss,"[26000, 195000, 27000]","{""maple-37-joint-loss"": [1000, 195000, 27000], ""panel-5-strip-0"": [25000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-38-separate,cut,maple-38,maple-38-window;maple-38-reserve,"[108000, 419000, 33000]","{""maple-38-reserve"": [108000, 196000, 33000], ""maple-38-window"": [108000, 220000, 33000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
maple-38-end-min,cut,maple-38-window,maple-38-end1;maple-38-end-min-off,"[108000, 220000, 33000]","{""maple-38-end-min-off"": [108000, 8000, 33000], ""maple-38-end1"": [108000, 209000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
maple-38-end-max,cut,maple-38-end1,maple-38-blank;maple-38-end-max-off,"[108000, 209000, 33000]","{""maple-38-blank"": [108000, 195000, 33000], ""maple-38-end-max-off"": [108000, 11000, 33000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 10692000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
maple-38-zmin,surface,maple-38-blank,maple-38-z1;maple-38-zmin-loss,"[108000, 195000, 33000]","{""maple-38-z1"": [108000, 195000, 30000], ""maple-38-zmin-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
maple-38-zmax,surface,maple-38-z1,maple-38-z2;maple-38-zmax-loss,"[108000, 195000, 30000]","{""maple-38-z2"": [108000, 195000, 27000], ""maple-38-zmax-loss"": [108000, 195000, 3000]}","{""amount_um"": 3000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
maple-38-xmin,surface,maple-38-z2,maple-38-x1;maple-38-xmin-loss,"[108000, 195000, 27000]","{""maple-38-x1"": [107000, 195000, 27000], ""maple-38-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
maple-38-xmax,surface,maple-38-x1,maple-38-x2;maple-38-xmax-loss,"[107000, 195000, 27000]","{""maple-38-x2"": [106000, 195000, 27000], ""maple-38-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
maple-38-rip,cut,maple-38-x2,maple-38-pre;maple-38-rip-off,"[106000, 195000, 27000]","{""maple-38-pre"": [26000, 195000, 27000], ""maple-38-rip-off"": [77000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
maple-38-joint,surface,maple-38-pre,panel-5-strip-1;maple-38-joint-loss,"[26000, 195000, 27000]","{""maple-38-joint-loss"": [1000, 195000, 27000], ""panel-5-strip-1"": [25000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-13-separate,cut,walnut-13,walnut-13-window;walnut-13-reserve,"[83000, 419000, 37000]","{""walnut-13-reserve"": [83000, 196000, 37000], ""walnut-13-window"": [83000, 220000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
walnut-13-end-min,cut,walnut-13-window,walnut-13-end1;walnut-13-end-min-off,"[83000, 220000, 37000]","{""walnut-13-end-min-off"": [83000, 8000, 37000], ""walnut-13-end1"": [83000, 209000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
walnut-13-end-max,cut,walnut-13-end1,walnut-13-blank;walnut-13-end-max-off,"[83000, 209000, 37000]","{""walnut-13-blank"": [83000, 195000, 37000], ""walnut-13-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
walnut-13-zmin,surface,walnut-13-blank,walnut-13-z1;walnut-13-zmin-loss,"[83000, 195000, 37000]","{""walnut-13-z1"": [83000, 195000, 32000], ""walnut-13-zmin-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-13-zmax,surface,walnut-13-z1,walnut-13-z2;walnut-13-zmax-loss,"[83000, 195000, 32000]","{""walnut-13-z2"": [83000, 195000, 27000], ""walnut-13-zmax-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-13-xmin,surface,walnut-13-z2,walnut-13-x1;walnut-13-xmin-loss,"[83000, 195000, 27000]","{""walnut-13-x1"": [82000, 195000, 27000], ""walnut-13-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-13-xmax,surface,walnut-13-x1,walnut-13-x2;walnut-13-xmax-loss,"[82000, 195000, 27000]","{""walnut-13-x2"": [81000, 195000, 27000], ""walnut-13-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-13-rip,cut,walnut-13-x2,walnut-13-pre;walnut-13-rip-off,"[81000, 195000, 27000]","{""walnut-13-pre"": [26000, 195000, 27000], ""walnut-13-rip-off"": [52000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-13-joint,surface,walnut-13-pre,panel-5-strip-2;walnut-13-joint-loss,"[26000, 195000, 27000]","{""panel-5-strip-2"": [25000, 195000, 27000], ""walnut-13-joint-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-14-separate,cut,walnut-14,walnut-14-window;walnut-14-reserve,"[83000, 419000, 37000]","{""walnut-14-reserve"": [83000, 196000, 37000], ""walnut-14-window"": [83000, 220000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
walnut-14-end-min,cut,walnut-14-window,walnut-14-end1;walnut-14-end-min-off,"[83000, 220000, 37000]","{""walnut-14-end-min-off"": [83000, 8000, 37000], ""walnut-14-end1"": [83000, 209000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
walnut-14-end-max,cut,walnut-14-end1,walnut-14-blank;walnut-14-end-max-off,"[83000, 209000, 37000]","{""walnut-14-blank"": [83000, 195000, 37000], ""walnut-14-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
walnut-14-zmin,surface,walnut-14-blank,walnut-14-z1;walnut-14-zmin-loss,"[83000, 195000, 37000]","{""walnut-14-z1"": [83000, 195000, 32000], ""walnut-14-zmin-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
walnut-14-zmax,surface,walnut-14-z1,walnut-14-z2;walnut-14-zmax-loss,"[83000, 195000, 32000]","{""walnut-14-z2"": [83000, 195000, 27000], ""walnut-14-zmax-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""max""}"
walnut-14-xmin,surface,walnut-14-z2,walnut-14-x1;walnut-14-xmin-loss,"[83000, 195000, 27000]","{""walnut-14-x1"": [82000, 195000, 27000], ""walnut-14-xmin-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""min""}"
walnut-14-xmax,surface,walnut-14-x1,walnut-14-x2;walnut-14-xmax-loss,"[82000, 195000, 27000]","{""walnut-14-x2"": [81000, 195000, 27000], ""walnut-14-xmax-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-14-rip,cut,walnut-14-x2,walnut-14-pre;walnut-14-rip-off,"[81000, 195000, 27000]","{""walnut-14-pre"": [26000, 195000, 27000], ""walnut-14-rip-off"": [52000, 195000, 27000]}","{""axis"": 0, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 15795000000000, ""retained_side"": ""min"", ""retained_um"": 26000, ""tool"": ""saw""}"
walnut-14-joint,surface,walnut-14-pre,panel-5-strip-3;walnut-14-joint-loss,"[26000, 195000, 27000]","{""panel-5-strip-3"": [25000, 195000, 27000], ""walnut-14-joint-loss"": [1000, 195000, 27000]}","{""amount_um"": 1000, ""axis"": 0, ""category"": ""milling"", ""process"": ""jointer"", ""side"": ""max""}"
walnut-15-separate,cut,walnut-15,walnut-15-window;walnut-15-reserve,"[83000, 419000, 37000]","{""walnut-15-reserve"": [83000, 196000, 37000], ""walnut-15-window"": [83000, 220000, 37000]}","{""axis"": 1, ""category"": ""other_offcuts"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 220000, ""tool"": ""saw""}"
walnut-15-end-min,cut,walnut-15-window,walnut-15-end1;walnut-15-end-min-off,"[83000, 220000, 37000]","{""walnut-15-end-min-off"": [83000, 8000, 37000], ""walnut-15-end1"": [83000, 209000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""max"", ""retained_um"": 209000, ""tool"": ""saw""}"
walnut-15-end-max,cut,walnut-15-end1,walnut-15-blank;walnut-15-end-max-off,"[83000, 209000, 37000]","{""walnut-15-blank"": [83000, 195000, 37000], ""walnut-15-end-max-off"": [83000, 11000, 37000]}","{""axis"": 1, ""category"": ""trim"", ""kerf_um"": 3000, ""kerf_volume_um3"": 9213000000000, ""retained_side"": ""min"", ""retained_um"": 195000, ""tool"": ""saw""}"
walnut-15-zmin,surface,walnut-15-blank,walnut-15-z1;walnut-15-zmin-loss,"[83000, 195000, 37000]","{""walnut-15-z1"": [83000, 195000, 32000], ""walnut-15-zmin-loss"": [83000, 195000, 5000]}","{""amount_um"": 5000, ""axis"": 2, ""category"": ""milling"", ""process"": ""thickness_planer"", ""side"": ""min""}"
