species,stock_um3,finished_um3,kerf_um3,milling_um3,trim_um3,other_offcuts_um3,balance_um3
maple,62719272000000000,2035500000000000,2500392000000000,8599650000000000,2967972000000000,46615758000000000,0
walnut,23161482000000000,487500000000000,853242000000000,3674690000000000,1050282000000000,17095768000000000,0
